Name,Address,State,City,Phone,Email,PPN
Manipal Hospital,#98 Rustom Bagh  Hal Airport Road,Karnataka,bengaluru,8025024444,corporate@manipalhospitals.com,Yes
Manipal Hospitals (Originally Incorporated With The Name Of Columbia Asia Hospital Group),Hebbal Kirloskar Business Park Bellary Road  Hebbal  Bangalore,Karnataka,Bengaluru,8041791000,insurance.hebbal@manipalhospitals.com,Yes
Manipal Hospitals (Originally Incorporated With The Name Of Columbia Asia Hospital Group),#26/1  Dr.Rajkumar Road  Malleswaram West,Karnataka,Bengaluru,8039898969,INSURANCE.YESHWANTHPUR@MANIPALHOSPITALS.COM,Yes
Manipal Hospitals Pvt Ltd (Earlier Vikram Hospital Millers Road),# 71/1  Millers Road,Karnataka,Bengaluru,9900198745,arunbabu.s@manipalhospitals.com,Yes
Manipal North Side Hospital,# 71 11th Main Road  Opp To Railway Station  Malleswaram  Bangalore,Karnataka,Bengaluru,9731399257,insurance.mnsh@manipalhospitals.com,Yes
Nagappa Hadli Hospital,M S Palya  Bharath Nagar  Vidyaranyapura-Post,Karnataka,Bengaluru,08050983368,nagappahadlihospital@gmail.com,No
Nandana Health Care Servicespvt Ltd,# 320/C 321/A  1st Stage  2nd Phase  West Of Chord Road  Manjunathnagar,Karnataka,Bengaluru,80-23500244/23500257,kaadehospital@gmail.com,Yes
Narayana Health,Hosur Road Anekal Taluk  No. 258 / A Bommasandra Industrial Area Anekal Taluk Bangalore - 562158  Hosur Road  Anekal Taluk,Karnataka,Bengaluru,9902429000,ADMISSIONS@NHHOSPITALS.ORG,Yes
Narayana Multispeciality Hospital Hsr Layout,Basant Health Center Building  Site No. 1. Opp To Hsr Club  Hsr Layout,Karnataka,Bengaluru,9902429000,TPA.HSRBP@NHHOSPITALS.ORG,Yes
Narayana Nethralaya,#121/C  Chord Road  Rajajinagar  1st R Block  (Near Mysore Soap Factory) Bangalore,Karnataka,Bengaluru,9844876120,RAGHU@NARAYANANETHRALAYA.COM,Yes
P D Hinduja Sindhi Hospital,Sampangiramanagar,Karnataka,Bengaluru,080 - 22237535 / 22237117,insurance@hindujasindhihospital.com,Yes
People Tree Hospitals,#2  Tumkur Road  Goraguntepalya,Karnataka,Bengaluru,9900091881,INSURANCE@PEOPLETREEHOSPITALS.COM,Yes
Pristine Hospital And Research Centre Pvt Ltd,#877 Modi Hospital Road West Of Chord Road  Rajajinagar,Karnataka,Bengaluru,4127077671,pristinehospital@gmail.com,Yes
Rangadore Memorial Hospital,1st Cross  Shankarapuram  Basavanagudi,Karnataka,Bengaluru,8105618395,IDESK.RMH@GMAIL.COM,Yes
Sagar Hospitals,# 44 / 54 30th Cross Tilaknagar  Jayanagar Extn Bangalore,Karnataka,Bengaluru,8042888415,inssagar@gmail.com,Yes
Sakra World Hospital,52/2 & 52/3 Devarabeesanahalli  Verthur Hoobli,Karnataka,Bengaluru,8049694969,tpa@sakraworldhospital.com,Yes
Sanjeevini Hospital,# 760  Last Bus Stop  Mahalakshmi Layout  Bangalore,Karnataka,Bengaluru,080 - 23590365,insurance@sanjeevinihospital.com,Yes
Shushrusha Hospital,B B Road Yelahanka  Bangaloer 560064,Karnataka,Bengaluru,9739126612,insurance.shushrushahospital@gmail.com,Yes
Sidvin Hospital Pvt Ltd,1031  20th Main 5th Block  Rajajinagar,Karnataka,Bengaluru,80-23505566,sidvin.hospital@gmail.com,No
SMILES Institute of Gastroenterology (Previously incorporated as Family Hospital),No. 423/2  60 Feet Road  1st Main  1st Stage  1st Phase Behind Sbm Gokula,Karnataka,Bengaluru,9448189988,insurance@smileshospitals.com,Yes
Sreenivasa Hospital,#12 Park Road  Near Chicklalbagh  Bangalore,Karnataka,Bengaluru,080 - 41221024 / 22877530,sreenivasahospital@yahoo.com,Yes
Sri Jayadeva Institute Of Cardiovascular Sciences And Research,Jayanagar 9th Block  Bannerghatta Road  Bangalore - 560069,Karnataka,Bengaluru,8022977314,insurance.sjic@gmail.com,Yes
Sri Lakshmi Super Speciality Hospital,3rd Main Road Old Extention Kr Puram,Karnataka,Bengaluru,80-25617799/25615599,cashlessk@yahoo.com,No
Sri Manjunatha Hospital,Main Road  Kundapura  Udupi Dist,Karnataka,Kundapura,08254 - 230515 / 234764,srimanjunathahospital@yahoo.com,No
Sri Shankara Cancer Hospital And Research Centre.,1st Cross  Shankarapuram  Basavangudi,Karnataka,Bengaluru,8105597672,sch.idesk@gmail.com,Yes
St Marthas Hospital,Nrupatunga Road  Bangalore,Karnataka,Bengaluru,8040128261,INSURANCEDESK@STMARTHAS.IN,Yes
St Philomenas Hospital,No: 4  Campbell Road ,Karnataka,Bengaluru,9427431483,STPHILOMENASHOSPITAL@GMAIL.COM,Yes
Suguna Hospital,# 1/A  87  Dr. Raj Kumar Road  4th N Block  Rajajinagar,Karnataka,Bengaluru,9611116934,IPBILLING@SUGUNAHOSPITAL.COM,Yes
Sumathi Nursing And Maternity Home,2-Nd Cross  Mathikere Lay Out,Karnataka,Bengaluru,080 - 23372762 / 23377838,snpatil1947@yahoo.co.in,No
Sundar Hospital,#01&02  Hennur Main Road  Lingaraja Puram,Karnataka,Bengaluru,9448120121,JITENDRA_1963@HOTMAIL.COM,Yes
Trinity Hospital And Heart Foundation,Near Rv Teacher College Circle  Basavanagudi  Basavanagudi,Karnataka,Bengaluru,080 - 26563994 / 26563995,trinityheartfoundation@gmail.com,Yes
V Care Hospital,#29  Ist Main Road  1st A Block  Deve Gowda Road  Rt Nagar  Bangalore,Karnataka,Bengaluru,8023434373,VCAREINSURANCETPA@GMAIL.COM,Yes
Vagus Superspeciality Hospital,18th Cross  4th Main  Malleshwaram,Karnataka,Bengaluru,080 - 23569970 / 78,insurancevagushospital@gmail.com,Yes
Vidyaranya Hospital,2876  4TH CROSS  NS ROAD  CHAMUNDIPURAM,Karnataka,Mysore,2330555/2331655,vidyaranyahospitalmysore@gmail.com,No
Zion Hospital And Research Center Pvt Ltd,No. 83/1  Kammanahalli Main Road,Karnataka,Bengaluru,8867211840,INSURANCE@ZIONHOSPITALS.COM,Yes
